Sr. No.,Assigned To,Company Name,Website,Website Verified,Scan Completed,Screenshot Taken,Wave AIM Score,Axe Score,LH Score,Screenshot link,Contact Person 1,Designation 1,Email ID 1,Contact Person 2,Designation 2,Email ID 2
"517","Unassigned","Global Defence Industries Ltd","https://globaldefenceacademy.com","Yes","Yes","Yes","1 out of 10","24","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Global_Defence_Industries_Ltd/screenshots/Global_Defence_Industries_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Global Defence Industries Ltd)","Company Secretary & Compliance Officer","info@globaldefenceacademy.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@globaldefenceacademy.com"
"518","Unassigned","Triochem Products Ltd","https://triochemproducts.com","Yes","Yes","Yes","7 out of 10","4","84","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Triochem_Products_Ltd/screenshots/Triochem_Products_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Triochem Products Ltd)","Company Secretary & Compliance Officer","info@triochemproducts.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@triochemproducts.com"
"519","Unassigned","Aviva Industries Ltd","https://avivaromm.com","Yes","Yes","Yes","1 out of 10","24","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Aviva_Industries_Ltd/screenshots/Aviva_Industries_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Aviva Industries Ltd)","Company Secretary & Compliance Officer","info@avivaromm.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@avivaromm.com"
"520","Unassigned","Signet Industries Ltd","https://signetjewelers.com","Yes","No","No","8.5 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Signet_Industries_Ltd/screenshots/Signet_Industries_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Signet Industries Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"521","Unassigned","Avance Technologies Ltd","https://avancefuneralhome.com","Yes","Yes","Yes","1.5 out of 10","12","52","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Avance_Technologies_Ltd/screenshots/Avance_Technologies_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Avance Technologies Ltd)","Company Secretary & Compliance Officer","website@funeraldirectorslife.com","General Contact Email","Managing Director / CEO","website@funeraldirectorslife.com"
"522","Unassigned","M Lakhamsi Industries Ltd","https://lakhamsi.com","Yes","Yes","Yes","7.8 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/M_Lakhamsi_Industries_Ltd/screenshots/M_Lakhamsi_Industries_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (M Lakhamsi Industries Ltd)","Company Secretary & Compliance Officer","info@lakhamsi.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@lakhamsi.com"
"523","Unassigned","Securekloud Technologies Ltd","https://securekloud.com","Yes","No","No","8.5 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Securekloud_Technologies_Ltd/screenshots/Securekloud_Technologies_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Securekloud Technologies Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"524","Unassigned","Abans Enterprises Ltd","https://aban.net","Yes","Yes","Yes","1 out of 10","27","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Abans_Enterprises_Ltd/screenshots/Abans_Enterprises_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Abans Enterprises Ltd)","Company Secretary & Compliance Officer","aban@aban.net","General Contact Email","Managing Director / CEO","aban@aban.net"
"525","Unassigned","Capricorn Systems Global Solutions Ltd","https://capricornsys-global.com","Yes","Yes","Yes","8.5 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Capricorn_Systems_Global_Solutions_Ltd/screenshots/Capricorn_Systems_Global_Solutions_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Capricorn Systems Global Solutions Ltd)","Company Secretary & Compliance Officer","info@capricornsys-global.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@capricornsys-global.com"
"526","Unassigned","Vama Industries Ltd","https://vam.ac.uk","Yes","Yes","Yes","8.5 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Vama_Industries_Ltd/screenshots/Vama_Industries_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Vama Industries Ltd)","Company Secretary & Compliance Officer","hello@vam.ac.uk","General Contact Email","Managing Director / CEO","hello@vam.ac.uk"
"527","Unassigned","Sunteck Realty Ltd","https://sunteckindia.com","Yes","No","No","8.5 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Sunteck_Realty_Ltd/screenshots/Sunteck_Realty_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Sunteck Realty Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"528","Unassigned","Bentley Commercial Enterprises Ltd","https://bentleycommercial.co.uk","Yes","Yes","Yes","6.3 out of 10","5","80","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Bentley_Commercial_Enterprises_Ltd/screenshots/Bentley_Commercial_Enterprises_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Bentley Commercial Enterprises Ltd)","Company Secretary & Compliance Officer","tom@bentleycommercial.co.uk","General Contact Email","Managing Director / CEO","tom@bentleycommercial.co.uk"
"529","Unassigned","Silveroak Commercials Ltd","https://silveroakcre.com","Yes","Yes","Yes","8.5 out of 10","2","92","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Silveroak_Commercials_Ltd/screenshots/Silveroak_Commercials_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Silveroak Commercials Ltd)","Company Secretary & Compliance Officer","info@silveroakcre.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@silveroakcre.com"
"530","Unassigned","Veritas (India) Ltd","https://veritaspress.com","Yes","No","No","7.8 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Veritas__India__Ltd/screenshots/Veritas__India__Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Veritas (India) Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"531","Unassigned","Jai Corp Ltd","https://jailexchange.com","Yes","No","No","5.8 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Jai_Corp_Ltd/screenshots/Jai_Corp_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Jai Corp Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"532","Unassigned","Ashirwad Capital Ltd","https://ashirwadagency.com","Yes","No","No","7.8 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Ashirwad_Capital_Ltd/screenshots/Ashirwad_Capital_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Ashirwad Capital Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"533","Unassigned","Autoriders International Ltd","https://autoriders.in","Yes","Yes","Yes","1 out of 10","14","44","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Autoriders_International_Ltd/screenshots/Autoriders_International_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Autoriders International Ltd)","Company Secretary & Compliance Officer","enquiry@autoriders.in","Investor Grievance / Compliance Officer Email","Managing Director / CEO","Complianceofficer@autoriders.in"
"534","Unassigned","Bhagyanagar India Ltd","https://bhagyanagarindia.com","Yes","Yes","Yes","1 out of 10","25","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Bhagyanagar_India_Ltd/screenshots/Bhagyanagar_India_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Bhagyanagar India Ltd)","Company Secretary & Compliance Officer","nvrao@surana.com","General Contact Email","Managing Director / CEO","nvrao@surana.com"
"535","Unassigned","Typhoon Holdings Ltd","https://typhoontexas.com","Yes","Yes","Yes","7 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Typhoon_Holdings_Ltd/screenshots/Typhoon_Holdings_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Typhoon Holdings Ltd)","Company Secretary & Compliance Officer","info@typhoontexas.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@typhoontexas.com"
"536","Unassigned","SG Mart Ltd","https://interiorblender.com","Yes","Yes","Yes","7 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/SG_Mart_Ltd/screenshots/SG_Mart_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (SG Mart Ltd)","Company Secretary & Compliance Officer","info@interiorblender.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@interiorblender.com"
"537","Unassigned","Sheraton Properties & Finance Ltd","https://sheratonproperties.com","Yes","Yes","Yes","7 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Sheraton_Properties___Finance_Ltd/screenshots/Sheraton_Properties___Finance_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Sheraton Properties & Finance Ltd)","Company Secretary & Compliance Officer","605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com","General Contact Email","Managing Director / CEO","605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com"
"538","Unassigned","Starteck Finance Ltd","https://starteckworkspace.com","Yes","Yes","Yes","8.5 out of 10","2","92","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Starteck_Finance_Ltd/screenshots/Starteck_Finance_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Starteck Finance Ltd)","Company Secretary & Compliance Officer","info@starteckworkspace.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@starteckworkspace.com"
"539","Unassigned","Apollo Finvest India Ltd","https://apollofinvest.com","Yes","Yes","Yes","1 out of 10","23","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Apollo_Finvest_India_Ltd/screenshots/Apollo_Finvest_India_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Apollo Finvest India Ltd)","Company Secretary & Compliance Officer","grievanceredressal@apollofinvest.com","Investor Grievance / Compliance Officer Email","Managing Director / CEO","grievanceredressal@apollofinvest.com"
"540","Unassigned","Enbee Trade & Finance Ltd","https://enbeetrade.com","Yes","Yes","Yes","7.8 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Enbee_Trade___Finance_Ltd/screenshots/Enbee_Trade___Finance_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Enbee Trade & Finance Ltd)","Company Secretary & Compliance Officer","info@enbeetrade.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@enbeetrade.com"
"541","Unassigned","Lloyds Enterprises Ltd","https://lloydsbank.com","Yes","Yes","Yes","9.1 out of 10","1","96","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Lloyds_Enterprises_Ltd/screenshots/Lloyds_Enterprises_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Lloyds Enterprises Ltd)","Company Secretary & Compliance Officer","info@lloydsbank.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@lloydsbank.com"
"542","Unassigned","Betex India Ltd","https://betexindia.com","Yes","Yes","Yes","9.1 out of 10","1","96","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Betex_India_Ltd/screenshots/Betex_India_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Betex India Ltd)","Company Secretary & Compliance Officer","corporate@betexindia.com","Investor Grievance / Compliance Officer Email","Managing Director / CEO","corporate@betexindia.com"
"543","Unassigned","Garnet International Ltd","https://garnetint.com","Yes","Yes","Yes","8.5 out of 10","2","92","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Garnet_International_Ltd/screenshots/Garnet_International_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Garnet International Ltd)","Company Secretary & Compliance Officer","info@garnetint.com","General Contact Email","Managing Director / CEO","info@garnetint.com"
"544","Unassigned","Shalimar Productions Ltd","https://shalimarpro.com","Yes","Yes","Yes","7.8 out of 10","3","88","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Shalimar_Productions_Ltd/screenshots/Shalimar_Productions_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Shalimar Productions Ltd)","Company Secretary & Compliance Officer","investor@shalimarpro.com","Investor Grievance / Compliance Officer Email","Managing Director / CEO","info@adroitcorporate.com"
"545","Unassigned","Meenakshi Steel Industries Ltd","https://meenakshisteel.co.in","Yes","No","No","8.5 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Meenakshi_Steel_Industries_Ltd/screenshots/Meenakshi_Steel_Industries_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Meenakshi Steel Industries Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"546","Unassigned","Donear Industries Ltd","https://donear.com","Yes","Yes","Yes","1.5 out of 10","12","52","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Donear_Industries_Ltd/screenshots/Donear_Industries_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Donear Industries Ltd)","Company Secretary & Compliance Officer","info@donear.com","General Contact Email","Managing Director / CEO","info@donear.com"
"547","Unassigned","Super Sales India Ltd","https://supersales.co.in","Yes","Yes","Yes","1.5 out of 10","12","52","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Super_Sales_India_Ltd/screenshots/Super_Sales_India_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Super Sales India Ltd)","Company Secretary & Compliance Officer","ssil@vaamaa.com","General Contact Email","Managing Director / CEO","ssil@vaamaa.com"
"548","Unassigned","State Trading Corporation of India Ltd","https://stclimited.co.in","Yes","Yes","Yes","5.8 out of 10","6","76","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/State_Trading_Corporation_of_India_Ltd/screenshots/State_Trading_Corporation_of_India_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (State Trading Corporation of India Ltd)","Company Secretary & Compliance Officer","co@stclimited.co.in","Investor Grievance / Compliance Officer Email","Managing Director / CEO","co@stclimited.co.in"
"549","Unassigned","Zenith Exports Ltd","https://zenithexportslimited.com","Yes","Yes","Yes","7 out of 10","4","84","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Zenith_Exports_Ltd/screenshots/Zenith_Exports_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Zenith Exports Ltd)","Company Secretary & Compliance Officer","info@zenithexportslimited.com","General Contact Email","Managing Director / CEO","info@zenithexportslimited.com"
"550","Unassigned","Neelkanth Ltd","https://neelkanthdrugs.in","Yes","Yes","Yes","8.5 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Neelkanth_Ltd/screenshots/Neelkanth_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Neelkanth Ltd)","Company Secretary & Compliance Officer","info@neelkanthdrugs.in","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@neelkanthdrugs.in"
"551","Unassigned","Avanti Feeds Ltd","https://avantifeeds.com","Yes","No","No","6.3 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Avanti_Feeds_Ltd/screenshots/Avanti_Feeds_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Avanti Feeds Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"552","Unassigned","Sita Enterprises Ltd","https://sita.aero","Yes","Yes","Yes","5.8 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Sita_Enterprises_Ltd/screenshots/Sita_Enterprises_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Sita Enterprises Ltd)","Company Secretary & Compliance Officer","info@sita.aero","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@sita.aero"
"553","Unassigned","Manbro Industries Ltd","https://manbroker.pl","Yes","Yes","Yes","1 out of 10","15","40","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Manbro_Industries_Ltd/screenshots/Manbro_Industries_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Manbro Industries Ltd)","Company Secretary & Compliance Officer","biuro@manbroker.pl","General Contact Email","Managing Director / CEO","biuro@manbroker.pl"
"554","Unassigned","Keynote Financial Services Ltd","https://keynotefinancial.com","Yes","Yes","Yes","5.8 out of 10","","100","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Keynote_Financial_Services_Ltd/screenshots/Keynote_Financial_Services_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Keynote Financial Services Ltd)","Company Secretary & Compliance Officer","605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com","General Contact Email","Managing Director / CEO","605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com"
"555","Unassigned","Adani Enterprises Ltd","https://adanielectricity.com","Yes","Yes","Yes","1 out of 10","33","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Adani_Enterprises_Ltd/screenshots/Adani_Enterprises_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Adani Enterprises Ltd)","Company Secretary & Compliance Officer","helpdesk.mumbaielectricity@adani.com","General Contact Email","Managing Director / CEO","helpdesk.mumbaielectricity@adani.com"
"556","Unassigned","Bhandari Hosiery Exports Ltd","https://bhandariexport.com","Yes","No","No","7.8 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Bhandari_Hosiery_Exports_Ltd/screenshots/Bhandari_Hosiery_Exports_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Bhandari Hosiery Exports Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"557","Unassigned","RLF Ltd","https://rlfans.com","Yes","No","No","8.5 out of 10","","","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/RLF_Ltd/screenshots/RLF_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (RLF Ltd)","Company Secretary & Compliance Officer","Not publicly disclosed","N/A","Managing Director / CEO","Not publicly disclosed"
"558","Unassigned","Regent Enterprises Ltd","https://regententerprises.in","Yes","Yes","Yes","1.5 out of 10","12","52","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Regent_Enterprises_Ltd/screenshots/Regent_Enterprises_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Regent Enterprises Ltd)","Company Secretary & Compliance Officer","info@regententerprises.in","General Contact Email","Managing Director / CEO","info@regententerprises.in"
"559","Unassigned","Orbit Exports Ltd","https://orbitexports.com","Yes","Yes","Yes","9.1 out of 10","1","96","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Orbit_Exports_Ltd/screenshots/Orbit_Exports_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Orbit Exports Ltd)","Company Secretary & Compliance Officer","info@orbitexports.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@orbitexports.com"
"560","Unassigned","Savera Industries Ltd","https://saveracruz.com.ar","Yes","Yes","Yes","1 out of 10","24","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Savera_Industries_Ltd/screenshots/Savera_Industries_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Savera Industries Ltd)","Company Secretary & Compliance Officer","info@saveracruz.com.ar","General Contact Email","Managing Director / CEO","info@saveracruz.com.ar"
"561","Unassigned","Nava Ltd","https://navalimited.com","Yes","Yes","Yes","1 out of 10","65","30","![WAVE Tool Screenshot](https://github.com/VEER-TANMAY-SACHIN/projects/blob/main/orchavate_gtm_workflow/outputs/v1.3_apollo_bse_master_list_20260811_112506_attempt6_succesful_reviewnotdone_orchavatecore_digital_digital/Nava_Ltd/screenshots/Nava_Ltd_Homepage_WAVE_Overlay.png)","Company Secretary (Nava Ltd)","Company Secretary & Compliance Officer","info@navalimited.com","General Contact Email (Guessed Pattern)","Managing Director / CEO","info@navalimited.com"
